,positions,eventName,goal,assist,key_pass,left_foot,right_foot
205,"[{'y': 54, 'x': 48}, {'y': 41, 'x': 73}]",Others on the ball,False,False,False,False,False
206,"[{'y': 41, 'x': 73}, {'y': 37, 'x': 81}]",Pass,False,False,False,False,False
207,"[{'y': 28, 'x': 94}, {'y': 45, 'x': 94}]",Pass,False,False,True,False,False
208,"[{'y': 69, 'x': 73}, {'y': 56, 'x': 95}]",Pass,False,False,True,False,False
209,"[{'y': 67, 'x': 45}, {'y': 70, 'x': 39}]",Pass,False,False,False,False,False
210,"[{'y': 62, 'x': 46}, {'y': 69, 'x': 39}]",Pass,False,False,False,False,False
211,"[{'y': 87, 'x': 85}, {'y': 96, 'x': 91}]",Pass,False,False,False,False,False
212,"[{'y': 6, 'x': 64}, {'y': 12, 'x': 55}]",Pass,False,False,False,False,False
213,"[{'y': 23, 'x': 67}, {'y': 28, 'x': 55}]",Free Kick,False,False,False,False,False
214,"[{'y': 53, 'x': 60}, {'y': 67, 'x': 76}]",Others on the ball,False,False,False,False,False
215,"[{'y': 67, 'x': 76}, {'y': 73, 'x': 89}]",Pass,False,False,False,False,False
216,"[{'y': 57, 'x': 71}, {'y': 42, 'x': 90}]",Pass,False,False,False,False,False
217,"[{'y': 61, 'x': 73}, {'y': 52, 'x': 74}]",Pass,False,False,False,False,False
218,"[{'y': 60, 'x': 79}, {'y': 49, 'x': 87}]",Pass,False,False,False,False,False
219,"[{'y': 46, 'x': 91}, {'y': 0, 'x': 0}]",Shot,True,False,False,True,False
220,"[{'y': 94, 'x': 57}, {'y': 96, 'x': 67}]",Pass,False,False,False,False,False
221,"[{'y': 91, 'x': 49}, {'y': 76, 'x': 46}]",Pass,False,False,False,False,False
222,"[{'y': 96, 'x': 57}, {'y': 91, 'x': 68}]",Pass,False,False,False,False,False
223,"[{'y': 76, 'x': 44}, {'y': 88, 'x': 42}]",Pass,False,False,False,False,False
224,"[{'y': 83, 'x': 38}, {'y': 92, 'x': 39}]",Pass,False,False,False,False,False
225,"[{'y': 75, 'x': 42}, {'y': 29, 'x': 32}]",Pass,False,False,False,False,False
226,"[{'y': 54, 'x': 43}, {'y': 24, 'x': 56}]",Pass,False,False,False,False,False
227,"[{'y': 0, 'x': 100}, {'y': 44, 'x': 97}]",Free Kick,False,False,False,False,False
228,"[{'y': 52, 'x': 74}, {'y': 32, 'x': 87}]",Pass,False,False,False,False,False
229,"[{'y': 44, 'x': 86}, {'y': 0, 'x': 0}]",Shot,False,False,False,True,False
230,"[{'y': 54, 'x': 56}, {'y': 46, 'x': 56}]",Pass,False,False,False,False,False
231,"[{'y': 64, 'x': 59}, {'y': 67, 'x': 69}]",Pass,False,False,False,False,False
232,"[{'y': 69, 'x': 72}, {'y': 68, 'x': 80}]",Pass,False,False,False,False,False
233,"[{'y': 79, 'x': 75}, {'y': 47, 'x': 40}]",Pass,False,False,False,False,False
234,"[{'y': 70, 'x': 75}, {'y': 0, 'x': 0}]",Free Kick,False,False,False,True,False
235,"[{'y': 54, 'x': 44}, {'y': 90, 'x': 46}]",Pass,False,False,False,False,False
236,"[{'y': 77, 'x': 42}, {'y': 72, 'x': 51}]",Pass,False,False,False,False,False
237,"[{'y': 66, 'x': 48}, {'y': 28, 'x': 73}]",Pass,False,False,False,False,False
238,"[{'y': 51, 'x': 66}, {'y': 26, 'x': 86}]",Pass,False,False,False,False,False
239,"[{'y': 91, 'x': 74}, {'y': 64, 'x': 78}]",Pass,False,False,False,False,False
240,"[{'y': 62, 'x': 69}, {'y': 64, 'x': 95}]",Pass,False,False,False,False,False
241,"[{'y': 67, 'x': 73}, {'y': 73, 'x': 57}]",Pass,False,False,False,False,False
242,"[{'y': 51, 'x': 74}, {'y': 46, 'x': 76}]",Pass,False,False,False,False,False
243,"[{'y': 82, 'x': 67}, {'y': 43, 'x': 45}]",Pass,False,False,False,False,False
244,"[{'y': 60, 'x': 50}, {'y': 69, 'x': 34}]",Pass,False,False,False,False,False
245,"[{'y': 52, 'x': 51}, {'y': 27, 'x': 62}]",Pass,False,False,False,False,False
246,"[{'y': 26, 'x': 59}, {'y': 25, 'x': 85}]",Pass,False,False,False,False,False
247,"[{'y': 43, 'x': 67}, {'y': 33, 'x': 76}]",Pass,False,False,False,False,False
248,"[{'y': 90, 'x': 54}, {'y': 79, 'x': 55}]",Pass,False,False,False,False,False
249,"[{'y': 87, 'x': 70}, {'y': 59, 'x': 66}]",Pass,False,False,False,False,False
250,"[{'y': 55, 'x': 56}, {'y': 48, 'x': 43}]",Pass,False,False,False,False,False
251,"[{'y': 46, 'x': 53}, {'y': 15, 'x': 54}]",Pass,False,False,False,False,False
252,"[{'y': 34, 'x': 60}, {'y': 22, 'x': 58}]",Pass,False,False,False,False,False
253,"[{'y': 56, 'x': 68}, {'y': 78, 'x': 94}]",Pass,False,False,False,False,False
254,"[{'y': 55, 'x': 50}, {'y': 62, 'x': 83}]",Pass,False,False,False,False,False
255,"[{'y': 100, 'x': 100}, {'y': 86, 'x': 93}]",Free Kick,False,False,False,False,False
256,"[{'y': 84, 'x': 79}, {'y': 58, 'x': 88}]",Pass,False,False,False,False,False
257,"[{'y': 46, 'x': 74}, {'y': 49, 'x': 66}]",Pass,False,False,False,False,False
258,"[{'y': 25, 'x': 71}, {'y': 35, 'x': 81}]",Pass,False,False,False,False,False
259,"[{'y': 52, 'x': 78}, {'y': 57, 'x': 70}]",Others on the ball,False,False,False,False,False
260,"[{'y': 21, 'x': 72}, {'y': 28, 'x': 74}]",Pass,False,False,False,False,False
261,"[{'y': 26, 'x': 86}, {'y': 25, 'x': 77}]",Others on the ball,False,False,False,False,False
262,"[{'y': 41, 'x': 69}, {'y': 61, 'x': 73}]",Pass,False,False,False,False,False
